"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"36","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.54","-0.57","-0.03 (-0.24, 0.19)","0.81","0.97","-0.2","-0.24","-0.03 (-0.25, 0.18)","0.77","0.86"
"37","","","","","","","","","","","","","","",""
"38","Vit A deficiency","Ln AGP Age 14 months","434","0","1","6.8","6.66","-0.14 (-0.33, 0.04)","0.13","0.44","6.92","6.77","-0.15 (-0.35, 0.04)","0.12","0.4"
"39","","Ln CRP Age 14 months","374","0","1","7.12","7.01","-0.1 (-0.82, 0.61)","0.79","0.97","6.78","6.59","-0.19 (-0.93, 0.55)","0.63","0.79"
"40","","Ln IFN Age 14 months","420","0","1","1.91","1.96","0.05 (-0.18, 0.28)","0.69","0.91","1.98","2.08","0.1 (-0.14, 0.35)","0.42","0.67"
"41","","Sum score of 13 cytokines Age 14 months","420","0","1","-0.4","-0.09","0.31 (-0.11, 0.74)","0.15","0.46","0.03","0.44","0.42 (-0.04, 0.87)","0.07","0.4"
"42","","Ln IFN Age 28 months","489","0","1","1.6","1.46","-0.14 (-0.4, 0.12)","0.29","0.68","1.59","1.44","-0.15 (-0.41, 0.11)","0.25","0.5"
"43","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.54","-0.85","-0.31 (-0.7, 0.08)","0.12","0.41","-0.22","-0.52","-0.3 (-0.69, 0.09)","0.13","0.4"
"44","","","","","","","","","","","","","","",""
"45","Iron deficiency","Ln AGP Age 14 months","434","0","1","6.78","6.9","0.12 (0.03, 0.22)","0.01","0.33","6.88","7.01","0.13 (0.03, 0.22)","0.01","0.31"
"46","","Ln CRP Age 14 months","374","0","1","7.04","7.35","0.31 (-0.05, 0.67)","0.09","0.41","6.74","7.01","0.27 (-0.08, 0.63)","0.13","0.4"
"47","","Ln IFN Age 14 months","420","0","1","1.9","1.94","0.04 (-0.08, 0.16)","0.54","0.84","1.97","2.01","0.04 (-0.09, 0.16)","0.58","0.78"
"48","","Sum score of 13 cytokines Age 14 months","420","0","1","-0.42","-0.34","0.08 (-0.15, 0.3)","0.51","0.82","0","0.09","0.09 (-0.14, 0.32)","0.45","0.67"
"49","","Ln IFN Age 28 months","489","0","1","1.61","1.54","-0.06 (-0.19, 0.07)","0.36","0.78","1.62","1.57","-0.05 (-0.18, 0.08)","0.47","0.68"
"50","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.53","-0.61","-0.08 (-0.28, 0.12)","0.46","0.82","-0.18","-0.31","-0.12 (-0.32, 0.08)","0.23","0.49"
